Start Date,End Date,Unique Identifier,Average of adjusted_approve,Average of adjusted_disapprove
2017-01-20,2017-01-22,1,45.90613,43.14093
2017-01-23,2017-01-25,2,43.71903,40.23624
2017-01-26,2017-01-28,3,42.90613,49.14093
2017-01-29,2017-01-31,4,43.90613,50.14093
2017-02-01,2017-02-03,5,44.90613,48.14093
2017-02-04,2017-02-06,6,42.90613,52.14093
2017-02-07,2017-02-09,7,42.90613,50.14093
2017-02-10,2017-02-12,8,40.90613,52.14093
2017-02-13,2017-02-15,9,40.90613,52.14093
2017-02-16,2017-02-18,10,41.90613,53.14093
2017-02-19,2017-02-21,11,42.90613,50.14093
2017-02-22,2017-02-24,12,41.90613,51.14093
2017-02-25,2017-02-27,13,42.90613,52.14093
2017-02-28,2017-03-02,14,43.90613,49.14093
2017-03-03,2017-03-05,15,44.90613,48.14093
2017-03-06,2017-03-08,16,41.90613,51.14093
2017-03-09,2017-03-11,17,45.90613,47.14093
2017-03-12,2017-03-14,18,41.4270625,51.97496
2017-03-15,2017-03-17,19,40.90613,53.14093
2017-03-18,2017-03-20,20,39.90613,54.14093
2017-03-21,2017-03-23,21,41.90613,52.14093
2017-03-24,2017-03-26,22,36.90613,55.14093
2017-03-27,2017-03-29,23,38.90613,55.14093
2017-03-30,2017-04-01,24,38.90613,55.14093
2017-04-02,2017-04-04,25,41.71903,50.43624
2017-04-05,2017-04-07,26,40.90613,52.14093
2017-04-08,2017-04-10,27,40.90613,52.14093
2017-04-11,2017-04-13,28,40.90613,53.14093
2017-04-17,2017-04-19,30,43.90613,48.14093
2017-04-20,2017-04-22,31,40.90613,52.14093
2017-04-23,2017-04-25,32,42.35587714,51.25702571
2017-04-26,2017-04-28,33,43.90613,49.14093
2017-04-29,2017-05-01,34,42.90613,52.14093
2017-05-05,2017-05-07,36,42.90613,51.14093
2017-05-08,2017-05-10,37,38.90613,53.14093
2017-05-11,2017-05-13,38,39.114145,54.395265
2017-05-14,2017-05-16,39,38.90613,55.14093
2017-05-17,2017-05-19,40,37.90613,54.14093
2017-05-20,2017-05-22,41,38.90613,54.14093
2017-05-23,2017-05-25,42,41.90613,52.14093
2017-05-26,2017-05-28,43,42.90613,51.14093
2017-05-29,2017-05-31,44,40.90613,52.14093
2017-06-01,2017-06-03,45,36.90613,56.14093
2017-06-04,2017-06-06,46,38.71903,56.03624
2017-06-07,2017-06-09,47,39.90613,54.14093
2017-06-10,2017-06-12,48,36.90613,58.14093
2017-06-13,2017-06-15,49,38.90613,55.14093
2017-06-16,2017-06-18,50,38.90613,54.14093
2017-06-19,2017-06-21,51,39.90613,54.14093
2017-06-22,2017-06-24,52,38.90613,55.14093
2017-06-25,2017-06-27,53,40.78444857,52.97131143
2017-06-28,2017-06-30,54,38.90613,55.14093
2017-07-01,2017-07-03,55,37.90613,55.14093
2017-07-07,2017-07-09,57,39.90613,54.14093
2017-07-13,2017-07-15,59,38.90613,54.14093
2017-07-16,2017-07-18,60,38.9270625,54.47496
2017-07-19,2017-07-21,61,38.90613,55.14093
2017-07-22,2017-07-24,62,36.90613,57.14093
2017-07-25,2017-07-27,63,39.90613,52.14093
2017-07-28,2017-07-30,64,37.90613,57.14093
2017-07-31,2017-08-02,65,36.90613,56.14093
2017-08-03,2017-08-05,66,38.90613,54.14093
2017-08-06,2017-08-08,67,37.51903,55.63624
2017-08-09,2017-08-11,68,37.90613,55.14093
2017-08-12,2017-08-14,69,36.90613,57.14093
2017-08-15,2017-08-17,70,38.90613,55.14093
2017-08-18,2017-08-20,71,35.90613,57.14093
2017-08-21,2017-08-23,72,34.90613,58.14093
2017-08-24,2017-08-26,73,35.90613,58.14093
2017-08-27,2017-08-29,74,38.21302,56.11416857
2017-08-30,2017-09-01,75,34.90613,59.14093
2017-09-02,2017-09-04,76,37.90613,54.14093
2017-09-05,2017-09-07,77,36.90613,55.14093
2017-09-08,2017-09-10,78,38.90613,55.14093
2017-09-11,2017-09-13,79,39.350092,52.296924
2017-09-14,2017-09-16,80,38.90613,55.14093
2017-09-17,2017-09-19,81,40.11903,52.23624
2017-09-20,2017-09-22,82,37.90613,54.14093
2017-09-23,2017-09-25,83,39.90613,54.14093
2017-09-26,2017-09-28,84,37.90613,57.14093
2017-09-29,2017-10-01,85,37.90613,55.14093
2017-10-02,2017-10-04,86,39.90613,54.14093
2017-10-05,2017-10-07,87,38.90613,55.14093
2017-10-08,2017-10-10,88,37.90613,54.14093
2017-10-11,2017-10-13,89,38.90613,54.14093
2017-10-14,2017-10-16,90,37.90613,56.14093
2017-10-17,2017-10-19,91,35.90613,58.14093
2017-10-20,2017-10-22,92,36.90613,55.14093
2017-10-23,2017-10-25,93,37.90613,56.14093
2017-10-26,2017-10-28,94,35.90613,58.14093
2017-10-29,2017-10-31,95,38.91903,56.03624
2017-11-01,2017-11-03,96,39.90613,54.14093
2017-11-04,2017-11-06,97,37.90613,55.14093
2017-11-07,2017-11-09,98,37.90613,56.14093
2017-11-10,2017-11-12,99,38.90613,54.14093
2017-11-13,2017-11-15,100,39.550092,55.496924
2017-11-16,2017-11-18,101,38.90613,55.14093
2017-11-19,2017-11-21,102,38.31903,55.03624
2017-11-25,2017-11-27,104,37.90613,54.14093
2017-11-28,2017-11-30,105,34.90613,58.14093
2017-12-01,2017-12-03,106,35.90613,58.14093
2017-12-04,2017-12-06,107,37.90613,57.14093
2017-12-07,2017-12-09,108,36.90613,57.14093
2017-12-10,2017-12-12,109,35.9985425,56.450395
2017-12-13,2017-12-15,110,37.614145,57.895265
2017-12-16,2017-12-18,111,36.90613,57.14093
2017-12-19,2017-12-21,112,36.90613,56.14093
2017-12-28,2017-12-30,115,40.90613,53.14093
2017-12-31,2018-01-02,116,39.59429667,54.63311333
2018-01-21,2018-01-23,123,41.735776,54.303464
2018-02-05,2018-02-07,128,38.9794,55.73425333
2018-02-11,2018-02-13,130,42.26096333,52.63311333
2018-03-04,2018-03-06,137,40.26096333,53.29978
2018-03-19,2018-03-21,142,41.31273333,52.06758667